"Genistein",mg,0.00,1,--,0.00,0.00,0.00,0.00,0.00,0.00
"Total isoflavones",mg,0.00,1,--,0.00,0.00,0.00,0.00,0.00,0.00
Proanthocyanidin
"Proanthocyanidin dimers",mg,0.0,2,--,0.0,0.0,0.0,0.0,0.0,0.0
"Proanthocyanidin trimers",mg,0.0,2,--,0.0,0.0,0.0,0.0,0.0,0.0
"Proanthocyanidin 4-6mers",mg,0.0,2,--,0.0,0.0,0.0,0.0,0.0,0.0
"Proanthocyanidin 7-10mers",mg,0.0,2,--,0.0,0.0,0.0,0.0,0.0,0.0
"Proanthocyanidin polymers (>10mers)",mg,0.0,2,--,0.0,0.0,0.0,0.0,0.0,0.0


Sources of Data
1,"Nutrient Data Laboratory, ARS, USDA","National Food and Nutrient Analysis Program Wave 5n",2001,,BeltsvilleMD
2,"Nutrient Data Laboratory, ARS, USDA","National Food and Nutrient Analysis Program Wave 5f",2001,,BeltsvilleMD
3,"Nutrient Data Laboratory, ARS, USDA","National Food and Nutrient Analysis Program Wave 14c",2009,,BeltsvilleMD
4,"J P Sweeney, A C Marsh","Effect of processing on provitamin A in vegetables",1971,J Am Diet Assoc,59MD pp. 238-238
5,"Y Wu, A K Perry, B P Klein","Vitamin C and beta-carotene in fresh and frozen green beans and broccoli in a simulated system.",1992,J. Food Quality,152 pp. 87-87
6,"J L Bureau, R J Bushway","HPLC determination of carotenoids in fruits and vegetables in the United States",1986,J Food Sci,522 pp. 128-128
7,"R J Bushway","Determination of alpha- and beta-carotene in some raw fruits and vegetables by high-performance liquid chromatography",1986,J Agr Food Chem,342 pp. 409-409
8,"R J Bushway, A Yang, A M Yamani","Comparison of alpha- and beta-carotene content of supermarket versus roadside stand produce",1987,J Food Qual,92 pp. 437-437
9,"F Khachik, G R Beecher, N F Whittaker","Separation, identification and quantification of the major carotenoid and chlorophyll constituents in extracts of several green vegetables by liquid chromatography",1986,J Agr Food Chem,342 pp. 603-603
10,"Harnly, J. M., Doherty, R., Beecher, G. R., Holden, J. M., Haytowitz, D. B., and Bhagwat, S., and Gebhardt S. ","Flavonoid content of U.S. fruits, vegetables, and nuts",2006,J. Agric. Food Chem.,54 pp. 9966-9966
11,"Arts, I. C. W., van de Putte, B., and Hollman, P. C. H. ","Catechin content of foods commonly consumed in the Netherlands. 1. Fruits, vegetables, staple foods and processed foods.",2000,J. Agric. Food Chem.,48 pp. 1746-1746
12,"Bahroun, T., Luximon-Ramma, A., Crozier, A., and Arouma, O. ","Total phenol, flavonoid, proanthocyanidin and vitamin C levels and antioxidant        activities of Mauritian vegetables",2004,J. Sci. Food Agric.,84 pp. 1553-1553
13,"Franke, A.A., Custer, L.J., Arakaki, C., and Murphy, S.P.","Vitamin C and flavonoid levels of fruits and vegetables consumed in Hawaii.",2004,J. Food Comp. Anal.,17 pp. 1-1
14,"Hertog, M. G. L., Hollman, P. C. H., and Katan, M. B. ","Content of potentially anticarcinogenic flavonoids of 28 vegetables and fruits commonly consumed in The Netherlands.",1992,J. Agric. Food Chem.,40 pp. 2379-2379
15,"Lugasi, A., and Hovari, J.","Flavonoid aglycons in foods of plant origin I. Vegetables",2000,Acta Alimentaria,29 pp. 345-345
16,"Arai, Yusuke, Watanabe, S., Kimira, M., Shimoi, K., Mochizuki, R., and Kinae, N.","Dietary intakes of flavonols and isoflavones by Japanese women and inverse correlation between quercetin intake and plasma LDL cholesterol concentration",2000,J. Nutr.,130 pp. 2243-2243
17,"Sakakibara, H., Honda, Y., Nakagawa, S., Ashida, H., and Kanazawa, K. ","Simultaneous determination of all polyphenols in vegetables, fruits, and teas",2003,J. Agric. Food Chem.,513 pp. 571-571
18,"Gliszczynska-Swigl0, A., Kaluzewicz, A., Lemanska, K., Knaflewski, M., and Tyrakowska, B. ","The effect of solar radiation on the flavonol content in broccoli inflorescence.",2007,Food Chemistry,1003 pp. 241-241
19,"Horbowicz, M. and Babik, I. ","Sulforaphane and flavonoid contents in chosen broccoli cultivars.",2005,Veg.crops Res. Bull.,623 pp. 127-127
20,"Justesen, U., Knuthsen, P., and Leth, T.","Quantitative analysis of flavonols, flavones, and flavonones in fruits, vegetables and beverages by high-performance liquid chromatography with photo-diode array and mass spectrometric detection.",1998,J. Chromatogr. A,7993 pp. 101-101
21,"Kevers, C., Falkowski, M., Tabart, J., Defraigne, J-O., Dommes, J., and Pincemail, J. ","Evolution of antioxidant capacity during storage of selected fruits and vegetables",2007,J. Agric. Food Chem.,553 pp. 8596-8596
22,"Mattila, P., Astola, J., and Kumpulainen, J.","Determination of flavonoids in plant material by HPLC with diode-array and electro-array detection.",2000,J. Agric. Food Chem.,483 pp. 5834-5834
23,"Price, K. R., Casuscelli, F., Colquhoun, I. J., and Rhodes, M. J. C. ","Composition and content of flavonol glycosides in broccoli florets (Brassica oleracea) and their fate during cooking.",1998,J. Sci. Food Agric.,773 pp. 468-468
24,"Gu, L., Kelm, M.A., Hammerstone, J.F., Beecher, G., Holden, J., Haytowitz, D., Gebhardt, S., and Prior, R.L.","Screening foods containing proanthocyanidins and their structural characterization using LC-MS/MS and thiolytic degradation",2003,J. Agric. Food Chem.,513 pp. 7513-7513
25,"Hellstr?m, T?rr?nen, A.R., and Matilla, P.H.","Proanthocyanidins in common food products of plant origin",2009,J. Agric. Food Chem.,573 pp. 7899-7899
26,"Horn-Ross, P. L., Barnes, S., Lee, M., Coward, L., Mandel, E., Koo, J., John, E. M., and Smith, M. ","Assesing phytoestrogen exposure in epidemiologic studies: development of a database (United States).",2000,Cancer Causes and Control,113 pp. 289-289
Langual Code(s)
"A1281""1100 VEGETABLES AND VEGETABLE PRODUCTS (USDA SR)"
"B1443""BROCCOLI"
"K0003""NO PACKING MEDIUM USED"
"A0152""VEGETABLE OR VEGETABLE PRODUCT (US CFR)"
"C0144""PLANT ABOVE SURFACE, EXCLUDING FRUIT AND SEED"
"F0003""NOT HEAT-TREATED"
"M0001""CONTAINER OR WRAPPING NOT KNOWN"
"N0001""FOOD CONTACT SURFACE NOT KNOWN"
"E0150""WHOLE, NATURAL SHAPE"
"H0003""NO TREATMENT APPLIED"
"G0003""COOKING METHOD NOT APPLICABLE"
"J0001""PRESERVATION METHOD NOT KNOWN"
"P0024""HUMAN FOOD, NO AGE SPECIFICATION"
