"Thiamin",mg,0.660,3,0.021,0.719,0.653,0.187
"Riboflavin",mg,0.130,3,0.030,0.142,0.129,0.037
"Niacin",mg,1.167,3,0.033,1.272,1.155,0.331
"Pantothenic acid",mg,0.863,3,0.078,0.941,0.854,0.245
"Vitamin B-6",mg,0.210,3,0.021,0.229,0.208,0.060
"Folate, total",µg,22,3,3.000,24,22,6
"Folic acid",µg,0,--,--,0,0,0
"Folate, food",µg,22,3,3.000,24,22,6
"Folate, DFE",µg,22,--,--,24,22,6
"Choline, total",mg,40.5,--,--,44.1,40.1,11.5
"Betaine",mg,0.7,5,0.074,0.8,0.7,0.2
"Vitamin B-12",µg,0.00,--,--,0.00,0.00,0.00
"Vitamin B-12, added",µg,0.00,--,--,0.00,0.00,0.00
"Vitamin A, RAE",µg,3,--,--,3,3,1
"Retinol",µg,0,--,--,0,0,0
"Carotene, beta",µg,29,9,1.000,32,29,8
"Carotene, alpha",µg,0,9,0.000,0,0,0
"Cryptoxanthin, beta",µg,9,8,1.000,10,9,3
"Vitamin A, IU",IU,56,--,--,61,55,16
"Lycopene",µg,0,8,0.000,0,0,0
"Lutein + zeaxanthin",µg,17,8,1.000,19,17,5
"Vitamin E (alpha-tocopherol)",mg,1.40,9,0.070,1.53,1.39,0.40
"Vitamin E, added",mg,0.00,--,--,0.00,0.00,0.00
"Tocopherol, beta",mg,0.39,9,0.110,0.43,0.39,0.11
"Tocopherol, gamma",mg,24.44,9,1.490,26.64,24.20,6.93
"Tocopherol, delta",mg,0.47,9,0.080,0.51,0.47,0.13
"Vitamin D (D2 + D3)",µg,0.0,--,--,0.0,0.0,0.0
"Vitamin D",IU,0,--,--,0,0,0
"Vitamin K (phylloquinone)",µg,3.5,8,0.400,3.8,3.5,1.0
Lipids
"Fatty acids, total saturated",g,6.180,--,--,6.736,6.118,1.752
"4:0",g,0.000,--,--,0.000,0.000,0.000
"6:0",g,0.000,--,--,0.000,0.000,0.000
"8:0",g,0.000,3,0.000,0.000,0.000,0.000
"10:0",g,0.000,3,0.000,0.000,0.000,0.000
"12:0",g,0.000,3,0.000,0.000,0.000,0.000
"13:0",g,0.000,3,0.000,0.000,0.000,0.000
"14:0",g,0.000,3,0.000,0.000,0.000,0.000
"15:0",g,0.000,3,0.000,0.000,0.000,0.000
"16:0",g,4.366,3,0.213,4.759,4.322,1.238
"17:0",g,0.000,3,0.000,0.000,0.000,0.000
"18:0",g,1.745,3,0.022,1.902,1.728,0.495
"20:0",g,0.069,3,0.000,0.075,0.068,0.020
"22:0",g,0.000,3,0.000,0.000,0.000,0.000
"24:0",g,0.000,3,0.000,0.000,0.000,0.000
"Fatty acids, total monounsaturated",g,40.801,--,--,44.473,40.393,11.567
"14:1",g,0.000,3,0.000,0.000,0.000,0.000
"16:1 undifferentiated",g,0.000,3,0.000,0.000,0.000,0.000
"18:1 undifferentiated",g,40.594,3,2.143,44.247,40.188,11.508
"20:1",g,0.207,3,0.000,0.226,0.205,0.059
"22:1 undifferentiated",g,0.000,3,0.000,0.000,0.000,0.000
"24:1 c",g,0.000,3,0.000,0.000,0.000,0.000
"Fatty acids, total polyunsaturated",g,21.614,--,--,23.559,21.398,6.128
"18:2 undifferentiated",g,20.628,3,1.806,22.485,20.422,5.848
"18:3 undifferentiated",g,0.986,3,0.044,1.075,0.976,0.280
"18:4",g,0.000,--,--,0.000,0.000,0.000
"20:2 n-6 c,c",g,0.000,3,0.000,0.000,0.000,0.000
"20:3 undifferentiated",g,0.000,3,0.000,0.000,0.000,0.000
"20:4 undifferentiated",g,0.000,3,0.000,0.000,0.000,0.000
"20:5 n-3 (EPA)",g,0.000,3,0.000,0.000,0.000,0.000
"22:5 n-3 (DPA)",g,0.000,3,0.000,0.000,0.000,0.000
"22:6 n-3 (DHA)",g,0.000,3,0.000,0.000,0.000,0.000
"Cholesterol",mg,0,--,--,0,0,0
"Stigmasterol",mg,3,3,0.000,3,3,1
"Campesterol",mg,6,3,0.000,7,6,2
"Beta-sitosterol",mg,117,3,0.000,128,116,33
Amino Acids
"Tryptophan",g,0.093,--,--,0.101,0.092,0.026
"Threonine",g,0.306,--,--,0.334,0.303,0.087
"Isoleucine",g,0.336,--,--,0.366,0.333,0.095
"Leucine",g,0.598,--,--,0.652,0.592,0.170
"Lysine",g,0.287,--,--,0.313,0.284,0.081
"Methionine",g,0.183,--,--,0.199,0.181,0.052
"Cystine",g,0.152,--,--,0.166,0.150,0.043
"Phenylalanine",g,0.426,--,--,0.464,0.422,0.121
"Tyrosine",g,0.215,--,--,0.234,0.213,0.061
"Valine",g,0.411,--,--,0.448,0.407,0.117
"Arginine",g,1.177,--,--,1.283,1.165,0.334
"Histidine",g,0.262,--,--,0.286,0.259,0.074
"Alanine",g,0.397,--,--,0.433,0.393,0.113
"Aspartic acid",g,0.929,--,--,1.013,0.920,0.263
"Glutamic acid",g,1.829,--,--,1.994,1.811,0.519
"Glycine",g,0.453,--,--,0.494,0.448,0.128
"Proline",g,0.363,--,--,0.396,0.359,0.103
"Serine",g,0.474,--,--,0.517,0.469,0.134
Other
"Alcohol, ethyl",g,0.0,--,--,0.0,0.0,0.0
"Caffeine",mg,0,--,--,0,0,0
"Theobromine",mg,0,--,--,0,0,0
Flavonoids
Anthocyanidins
"Cyanidin",mg,10.7,7,1.500,11.7,10.6,3.0
"Petunidin",mg,0.0,7,0.000,0.0,0.0,0.0
"Delphinidin ",mg,7.3,7,0.920,7.9,7.2,2.1
"Malvidin",mg,0.0,7,0.000,0.0,0.0,0.0
"Pelargonidin",mg,0.0,7,0.000,0.0,0.0,0.0
"Peonidin",mg,0.0,7,0.000,0.0,0.0,0.0
Flavan-3-ols
"(+)-Catechin",mg,7.2,7,0.510,7.9,7.2,2.1
"(-)-Epigallocatechin",mg,5.6,7,1.470,6.1,5.6,1.6
"(-)-Epicatechin",mg,0.8,7,0.080,0.9,0.8,0.2
"(-)-Epicatechin 3-gallate",mg,0.0,7,0.000,0.0,0.0,0.0
"(-)-Epigallocatechin 3-gallate",mg,2.3,7,0.460,2.5,2.3,0.7
"(+)-Gallocatechin",mg,0.0,7,0.000,0.0,0.0,0.0
Flavanones
"Hesperetin",mg,0.0,7,0.000,0.0,0.0,0.0
"Naringenin",mg,0.0,7,0.000,0.0,0.0,0.0
Flavones
"Apigenin",mg,0.0,7,0.000,0.0,0.0,0.0
"Luteolin",mg,0.0,3,0.000,0.0,0.0,0.0
Flavonols
"Myricetin",mg,0.0,7,0.000,0.0,0.0,0.0
"Quercetin",mg,0.0,7,0.000,0.0,0.0,0.0
Isoflavones
"Daidzein",mg,0.00,1,--,0.00,0.00,0.00
"Genistein",mg,0.00,1,--,0.00,0.00,0.00
"Glycitein",mg,0.00,1,--,0.00,0.00,0.00
"Total isoflavones",mg,0.00,1,--,0.00,0.00,0.00
"Formononetin",mg,0.00,1,--,0.00,0.00,0.00
"Coumestrol",mg,0.00,1,--,0.00,0.00,0.00
Proanthocyanidin
"Proanthocyanidin dimers",mg,42.1,8,5.420,45.9,41.7,11.9
"Proanthocyanidin trimers",mg,26.0,8,1.980,28.4,25.8,7.4
"Proanthocyanidin 4-6mers",mg,101.4,8,10.450,110.6,100.4,28.8
"Proanthocyanidin 7-10mers",mg,84.2,8,12.900,91.8,83.4,23.9
"Proanthocyanidin polymers (>10mers)",mg,223.0,8,59.050,243.1,220.8,63.2


Sources of Data
1,"Pecan Shellers Association","Nutrient Content of Pecans",1999,,
2,"Robert Ophaug","Fluoride, Unpublished - Ophaug",,Microdiffision,
3,"Nutrient Data Laboratory, ARS, USDA","National Food and Nutrient Analysis Program Wave 5n",2001,,BeltsvilleMD
4,"Nutrient Data Laboratory, ARS, USDA","National Food and Nutrient Analysis Program Wave 5c",2001,,BeltsvilleMD
5,"Harnly, J. M., Doherty, R., Beecher, G. R., Holden, J. M., Haytowitz, D. B., and Bhagwat, S., and Gebhardt S. ","Flavonoid content of U.S. fruits, vegetables, and nuts",2006,J. Agric. Food Chem.,54 pp. 9966-9966
6,"Gu, L., Kelm, M.A., Hammerstone, J.F., Beecher, G., Holden, J., Haytowitz, D., Gebhardt, S., and Prior, R.L.","Concentrations of proanthocyanidins in common foods and estimations of normal consumption",2004,J. Nutr.,134 pp. 613-613
7,"Thompson, L. U., Boucher, B. A., Liu, Z., Cotterchio, M., and Kreiger, N. ","Phytoestrogen content of foods consumed in Canada, including isoflavones, lignans, and coumestan.",2006,Nutr. Cancer,54 pp. 184-184
Footnotes
(b)"Other phytosterols = 32.8 mg/100g; these include delta 5-avenasterol (14.3), campestanol (2.8), brassicasterol (0.5), and other minor phytosterols (15.1 mg)."
(a)"Unroasted"
Langual Code(s)
"P0024""HUMAN FOOD, NO AGE SPECIFICATION"
"A1282""1200 NUT AND SEED PRODUCTS (USDA SR)"
"B1320""PECAN"
"A0260""NUT OR NUT PRODUCT (US CFR)"
"K0003""NO PACKING MEDIUM USED"
"C0155""SEED"
"N0001""FOOD CONTACT SURFACE NOT KNOWN"
"J0116""DEHYDRATED OR DRIED"
"G0003""COOKING METHOD NOT APPLICABLE"
"H0138""WATER REMOVED"
"F0001""EXTENT OF HEAT TREATMENT NOT KNOWN"
"E0151""SOLID"
"M0001""CONTAINER OR WRAPPING NOT KNOWN"
