"Cryptoxanthin, beta",µg,20,1,--,42,12,17,1,12
"Vitamin A, IU",IU,22,--,--,47,13,18,2,13
"Lycopene",µg,0,1,--,0,0,0,0,0
"Lutein + zeaxanthin",µg,11,2,--,23,6,9,1,6
"Vitamin E (alpha-tocopherol)",mg,0.15,--,--,0.32,0.09,0.13,0.01,0.09
"Vitamin E, added",mg,0.00,--,--,0.00,0.00,0.00,0.00,0.00
"Vitamin D (D2 + D3)",µg,0.0,--,--,0.0,0.0,0.0,0.0,0.0
"Vitamin D",IU,0,--,--,0,0,0,0,0
"Vitamin K (phylloquinone)",µg,0.0,--,--,0.0,0.0,0.0,0.0,0.0
Lipids
"Fatty acids, total saturated",g,0.039,--,--,0.083,0.023,0.033,0.003,0.023
"4:0",g,0.000,--,--,0.000,0.000,0.000,0.000,0.000
"6:0",g,0.000,--,--,0.000,0.000,0.000,0.000,0.000
"8:0",g,0.000,--,--,0.000,0.000,0.000,0.000,0.000
"10:0",g,0.000,--,--,0.000,0.000,0.000,0.000,0.000
"12:0",g,0.000,--,--,0.000,0.000,0.000,0.000,0.000
"14:0",g,0.001,--,--,0.002,0.001,0.001,0.000,0.001
"16:0",g,0.035,--,--,0.074,0.020,0.029,0.002,0.020
"18:0",g,0.002,--,--,0.004,0.001,0.002,0.000,0.001
"Fatty acids, total monounsaturated",g,0.011,--,--,0.023,0.006,0.009,0.001,0.006
"16:1 undifferentiated",g,0.001,--,--,0.002,0.001,0.001,0.000,0.001
"18:1 undifferentiated",g,0.010,--,--,0.021,0.006,0.008,0.001,0.006
"20:1",g,0.000,--,--,0.000,0.000,0.000,0.000,0.000
"22:1 undifferentiated",g,0.000,--,--,0.000,0.000,0.000,0.000,0.000
"Fatty acids, total polyunsaturated",g,0.089,--,--,0.189,0.052,0.075,0.006,0.052
"18:2 undifferentiated",g,0.063,--,--,0.134,0.037,0.053,0.004,0.037
"18:3 undifferentiated",g,0.026,--,--,0.055,0.015,0.022,0.002,0.015
"18:4",g,0.000,--,--,0.000,0.000,0.000,0.000,0.000
"20:4 undifferentiated",g,0.000,--,--,0.000,0.000,0.000,0.000,0.000
"20:5 n-3 (EPA)",g,0.000,--,--,0.000,0.000,0.000,0.000,0.000
"22:5 n-3 (DPA)",g,0.000,--,--,0.000,0.000,0.000,0.000,0.000
"22:6 n-3 (DHA)",g,0.000,--,--,0.000,0.000,0.000,0.000,0.000
"Fatty acids, total trans",g,0.000,--,--,0.000,0.000,0.000,0.000,0.000
"Cholesterol",mg,0,--,--,0,0,0,0,0
Amino Acids
Other
"Alcohol, ethyl",g,0.0,--,--,0.0,0.0,0.0,0.0,0.0
"Caffeine",mg,0,--,--,0,0,0,0,0
"Theobromine",mg,0,--,--,0,0,0,0,0
Flavonoids
Flavanones
"Eriodictyol",mg,21.4,2,--,45.3,12.4,17.9,1.5,12.4
"Hesperetin",mg,27.9,3,10.800,59.1,16.2,23.4,2.0,16.2
"Naringenin",mg,0.6,2,--,1.2,0.3,0.5,0.0,0.3
Flavones
"Apigenin",mg,0.0,1,--,0.0,0.0,0.0,0.0,0.0
"Luteolin",mg,1.9,2,--,4.0,1.1,1.6,0.1,1.1
Flavonols
"Kaempferol",mg,0.0,2,--,0.1,0.0,0.0,0.0,0.0
"Myricetin",mg,0.5,2,--,1.1,0.3,0.4,0.0,0.3
"Quercetin",mg,1.1,4,0.820,2.4,0.7,1.0,0.1,0.7


Sources of Data
1,"I.M. Heinonen, V. Ollilainen, E. Linkola, P. Varo, P. Koivistoinen","Carotenoids in Finnish Foods:  Vegetables, Fruits, and Berries",1989,Journal  of Agriculture and Food Chemistry,37 pp. 655-655
2,"H. Muller","Determination of the carotenoid content in selected vegetables and fruit by HPLC and photoiode array detection",1997,Z. Lebensm Unters Forsch A,204 pp. 88-88
3,"Mattila, P., Astola, J., and Kumpulainen, J.","Determination of flavonoids in plant material by HPLC with diode-array and electro-array detection.",2000,J. Agric. Food Chem.,48 pp. 5834-5834
4,"Vandercook, C. E., and Tisserat, B. ","Flavonoid changes in developing lemons grown in vivo and in vitro.",1989,Phytochemistry,28 pp. 799-799
5,"Justesen, U., Knuthsen, P., and Leth, T.","Quantitative analysis of flavonols, flavones, and flavonones in fruits, vegetables and beverages by high-performance liquid chromatography with photo-diode array and mass spectrometric detection.",1998,J. Chromatogr. A,799 pp. 101-101
6,"Lugasi, A. and Hovari, J. ","Flavonoid aglycons in foods of plant origin II. Fresh and dried fruits.",2002,Acta Alimentaria,311 pp. 63-63
7,"Kevers, C., Falkowski, M., Tabart, J., Defraigne, J-O., Dommes, J., and Pincemail, J. ","Evolution of antioxidant capacity during storage of selected fruits and vegetables",2007,J. Agric. Food Chem.,551 pp. 8596-8596
Langual Code(s)
"N0001""FOOD CONTACT SURFACE NOT KNOWN"
"A1279""0900 FRUITS AND FRUIT JUICES (USDA SR)"
"K0003""NO PACKING MEDIUM USED"
"J0001""PRESERVATION METHOD NOT KNOWN"
"P0024""HUMAN FOOD, NO AGE SPECIFICATION"
"H0003""NO TREATMENT APPLIED"
"A0143""FRUIT OR FRUIT PRODUCT (US CFR)"
"B1275""LEMON"
"G0003""COOKING METHOD NOT APPLICABLE"
"F0003""NOT HEAT-TREATED"
"E0150""WHOLE, NATURAL SHAPE"
"M0001""CONTAINER OR WRAPPING NOT KNOWN"
"C0229""FRUIT, PEEL REMOVED, CORE, PIT OR SEED REMOVED"
